1438,43,1604,43,1604,163,1438,163
93,63,246,63,246,209,93,209
1601,73,1738,73,1738,183,1601,183
1844,233,2074,233,2074,389,1844,389
1465,259,1768,259,1768,402,1465,402
1178,273,1388,273,1388,406,1178,406
461,268,837,294,829,403,454,378
955,286,1118,286,1118,412,955,412
283,463,601,450,606,566,288,579
103,602,389,602,389,715,103,715
487,617,748,610,751,740,490,747
784,619,995,614,998,750,787,754
1008,625,1118,625,1118,705,1008,705
1361,625,1448,625,1448,699,1361,699
1135,625,1251,625,1251,775,1135,775
1748,622,2071,622,2071,782,1748,782
1468,629,1681,629,1681,755,1468,755
1375,699,1431,699,1431,769,1375,769
666,797,1031,785,1035,904,670,917
1117,790,1389,797,1384,985,1112,978
250,796,570,801,568,956,248,951
1398,795,1686,820,1676,935,1388,910
56,829,149,829,149,975,56,975
1418,915,1485,915,1485,968,1418,968
359,975,582,975,582,1152,359,1152
1361,986,1835,968,1840,1107,1366,1125
103,982,346,982,346,1142,103,1142
1867,985,2007,985,2007,1142,1867,1142
599,998,689,998,689,1165,599,1165
805,1005,1248,1005,1248,1152,805,1152
106,1182,362,1182,362,1318,106,1318
553,1319,1068,1362,1056,1504,541,1461
1874,1355,2034,1355,2034,1491,1874,1491
109,1361,446,1361,446,1501,109,1501
1452,1388,1796,1375,1801,1496,1456,1509
1192,1395,1378,1395,1378,1475,1192,1475
1877,1441,1947,1441,1947,1491,1877,1491
