494,0,607,0,607,139,494,139
10,14,778,-2,788,447,20,464
155,0,292,0,292,131,155,131
958,-20,1413,14,1402,144,948,109
1591,24,1717,24,1717,309,1591,309
956,145,1290,145,1290,295,956,295
1413,161,1534,161,1534,271,1413,271
481,303,760,303,760,599,481,599
957,310,1356,303,1358,430,960,437
16,460,428,467,426,602,14,595
782,464,1260,464,1260,607,782,607
1442,477,1685,514,1670,612,1427,574
615,623,1069,623,1069,747,615,747
5,645,533,614,540,744,13,775
1257,645,1386,645,1386,776,1257,776
1432,653,1537,653,1537,768,1432,768
16,787,266,787,266,929,16,929
1104,790,1241,790,1241,908,1104,908
626,792,881,792,881,905,626,905
1257,795,1408,795,1408,916,1257,916
174,808,454,808,454,1085,174,1085
661,943,803,943,803,1061,661,1061
956,951,1376,951,1376,1064,956,1064
1099,1096,1354,1096,1354,1214,1099,1214
645,1099,948,1099,948,1225,645,1225
174,1101,478,1101,478,1233,174,1233
1432,1109,1539,1109,1539,1222,1432,1222
323,1234,622,1260,612,1375,313,1349
1126,1238,1244,1238,1244,1378,1126,1378
1257,1244,1373,1244,1373,1384,1257,1384
1432,1243,1644,1256,1637,1379,1424,1366
650,1260,921,1260,921,1370,650,1370
492,1401,931,1409,929,1518,490,1509
1265,1413,1378,1413,1378,1507,1265,1507
18,1413,295,1413,295,1531,18,1531
967,1416,1104,1416,1104,1507,967,1507
1410,1419,1523,1419,1523,1505,1410,1505
