436,11,736,29,730,131,430,114
137,19,282,23,280,89,135,86
973,23,1042,23,1042,83,973,83
756,32,827,32,827,97,756,97
35,42,92,42,92,85,35,85
966,83,1023,83,1023,124,966,124
647,135,720,135,720,227,647,227
126,126,492,126,492,206,126,206
743,137,836,137,836,220,743,220
857,146,1034,132,1041,222,864,237
779,231,957,252,917,585,739,564
124,220,206,220,206,307,124,307
223,227,285,213,310,330,248,343
660,249,711,249,711,338,660,338
334,249,418,249,418,332,334,332
745,249,813,249,813,338,745,338
428,252,482,252,482,332,428,332
962,279,996,279,996,325,962,325
116,330,177,333,172,451,111,448
973,347,1028,347,1028,411,973,411
441,355,494,355,494,452,441,452
653,355,704,355,704,455,653,455
551,357,610,357,610,423,551,423
338,357,421,357,421,443,338,443
124,457,185,457,185,544,124,544
236,465,424,459,426,540,239,546
437,471,491,471,491,533,437,533
660,469,740,469,740,551,660,551
965,478,1031,474,1043,678,977,681
763,564,827,564,827,674,763,674
126,571,181,571,181,665,126,665
834,573,934,573,934,667,834,667
229,576,503,576,503,654,229,654
654,578,735,578,735,683,654,683
229,686,284,686,284,763,229,763
980,688,1030,688,1030,781,980,781
323,690,409,690,409,772,323,772
651,697,718,697,718,784,651,784
759,697,822,697,822,791,759,791
436,699,505,699,505,790,436,790
539,701,606,701,606,758,539,758
28,799,67,799,67,900,28,900
977,797,1039,797,1039,884,977,884
748,803,816,796,842,1082,774,1088
226,806,288,806,288,888,226,888
343,806,402,806,402,879,343,879
864,807,920,807,920,1001,864,1001
446,811,514,811,514,886,446,886
533,815,590,815,590,895,533,895
648,910,696,907,703,1006,655,1009
439,912,489,912,489,1023,439,1023
234,914,300,914,300,1010,234,1010
342,920,389,922,385,1008,338,1006
21,925,64,925,64,985,21,985
967,930,1036,926,1045,1113,976,1116
436,1036,500,1010,540,1109,475,1135
210,1030,261,1030,261,1103,210,1103
866,1030,932,1030,932,1122,866,1122
12,1041,60,1041,60,1119,12,1119
